Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (mm),qc,Total Precip (mm),qc,Avg Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Avg Max Air Temp (C),qc,Avg Min Air Temp (C),qc,Avg Air Temp (C),qc,Avg Max Rel Hum (%),qc,Avg Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Avg Dew Point (C),qc,Avg Wind Speed (m/s),qc,Avg Soil Temp (C),qc
6,Davis,Sacramento Valley,Jul 1982,83.07,K,,M,,M,,M,,M,,M,,M,85,L,31,L,,M,,M,,M,,M
6,Davis,Sacramento Valley,Aug 1982,168.47,K,,M,,M,,M,,M,,M,,M,90,L,41,L,,M,,M,,M,,M
6,Davis,Sacramento Valley,Sep 1982,139.46,K,84.00,L,198,L,1.4,L,28.0,L,10.7,L,18.3,L,85,L,40,L,64,L,11.1,L,3.0,L,20.3,L
6,Davis,Sacramento Valley,Oct 1982,114.38,K,640.00,K,160, ,1.2, ,26.3, ,8.9, ,16.4, ,88, ,37, ,63, ,8.6, ,2.6,K,17.6, 
6,Davis,Sacramento Valley,Nov 1982,43.57,K,132.00,K,78, ,0.9, ,14.6, ,4.0, ,8.4, ,95, ,69, ,85, ,6.0, ,2.5,K,12.2, 
6,Davis,Sacramento Valley,Dec 1982,29.12,K,34.00,L,71,L,0.9,L,12.9,L,3.1,L,7.5,L,90,L,69,L,82,L,4.5,L,2.8,L,9.7,L
6,Davis,Sacramento Valley,Jan 1983,31.78,K,146.00,L,60,L,0.8,L,11.5,L,3.1,L,6.6,L,85,L,66,L,76,L,2.6,L,2.4,L,8.4,L
6,Davis,Sacramento Valley,Feb 1983,14.26,K,168.00, ,90, ,0.9, ,16.1, ,6.0, ,10.4, ,80, ,56, ,71, ,5.3, ,3.0,K,10.7, 
6,Davis,Sacramento Valley,Mar 1983,64.78,K,213.00,K,138,K,1.1,K,18.1, ,6.7, ,11.6,K,93,K,61,K,81, ,8.3, ,2.7,K,12.4,K
6,Davis,Sacramento Valley,Apr 1983,126.82,K,78.00,K,214,K,1.0,K,20.9, ,6.1, ,12.4,K,90,K,44,K,68, ,6.3, ,3.1,K,13.8,K
6,Davis,Sacramento Valley,May 1983,215.97,K,8.00,K,291,K,1.1,K,28.8, ,9.8, ,18.3,K,85,K,28,K,54, ,8.0, ,3.3,K,15.9,K
6,Davis,Sacramento Valley,Jun 1983,238.33,K,9.00,K,324,K,1.2,K,33.1, ,12.6, ,21.9,K,85,K,20,K,45, ,8.9, ,3.2,K,22.2,K
6,Davis,Sacramento Valley,Jul 1983,238.83,K,0.00,K,316,K,1.2,K,32.9, ,13.2,K,22.5,K,84,K,20,K,46, ,9.4, ,3.1,K,23.3,K
6,Davis,Sacramento Valley,Aug 1983,217.03,K,1.00, ,277, ,1.4, ,32.8, ,15.1, ,23.4, ,85, ,22, ,49, ,11.6, ,2.7,K,24.2, 
6,Davis,Sacramento Valley,Sep 1983,178.57,K,13.00, ,222, ,1.2, ,31.5, ,13.8, ,22.1, ,77, ,23, ,45, ,8.3, ,2.6,K,21.7, 
6,Davis,Sacramento Valley,Oct 1983,120.32,K,15.00,L,158,L,1.1,L,26.7,L,10.5,L,17.9,L,85,L,29,L,54,L,7.9,L,2.0,L,18.6,L
6,Davis,Sacramento Valley,Nov 1983,47.22,K,165.00,K,77,K,0.9,K,14.4,K,3.9,K,8.6,K,85,K,60,K,75,L,5.3,L,2.6,K,14.0,K
6,Davis,Sacramento Valley,Dec 1983,32.94,K,168.00,K,52,K,0.7,K,10.3, ,2.0, ,5.6,K,82,K,69,K,78, ,2.0, ,2.8,K,10.9,K
6,Davis,Sacramento Valley,Jan 1984,48.86, ,11.00, ,84, ,0.6, ,10.9, ,-0.2,K,4.6, ,82, ,60, ,74, ,0.1, ,2.3,K,8.8, 
6,Davis,Sacramento Valley,Feb 1984,62.78,K,32.00,L,121,L,0.7,L,15.4,L,1.5,L,7.7,L,82,L,52,L,69,L,2.4,L,2.2,L,9.6,L
6,Davis,Sacramento Valley,Mar 1984,152.23, ,27.00, ,199, ,0.8, ,21.0, ,6.3, ,13.4, ,71, ,32, ,51, ,2.5, ,3.4,K,13.3, 
6,Davis,Sacramento Valley,Apr 1984,188.63, ,10.00, ,260, ,0.7, ,22.1, ,6.2, ,14.0, ,70, ,20, ,42, ,0.5, ,3.3,K,14.9,K
6,Davis,Sacramento Valley,May 1984,245.52,K,2.00,L,299,L,0.9,L,29.5,L,11.8,L,20.8,L,67,K,20,K,38,L,5.4,L,2.9,L,19.0,L
6,Davis,Sacramento Valley,Jun 1984,246.95,K,4.00,K,323, ,1.3, ,31.1, ,12.3, ,21.7, ,79, ,30, ,51, ,10.5, ,3.3,K,21.3, 
6,Davis,Sacramento Valley,Jul 1984,228.11,K,2.00,K,334,K,1.6,K,35.0,K,15.3,K,24.9,K,78,K,29,K,50,L,13.5,L,2.7,K,24.1,K
6,Davis,Sacramento Valley,Aug 1984,185.29,K,5.00,K,287,K,1.5,K,32.9, ,13.4, ,22.0,K,85,K,31,K,58, ,13.2, ,2.7,K,23.6,K
6,Davis,Sacramento Valley,Sep 1984,174.59, ,3.00, ,233, ,1.2, ,33.1, ,14.5, ,14.5, ,64, ,22, ,69, ,8.4, ,2.9, ,21.0, 
6,Davis,Sacramento Valley,Oct 1984,96.29, ,26.00, ,153, ,1.1, ,22.7, ,8.6, ,11.9, ,86, ,42, ,79, ,7.9, ,2.9, ,17.1, 
6,Davis,Sacramento Valley,Nov 1984,35.16,K,153.00,L,76,L,1.0,L,14.3,L,3.9,L,8.8,L,97,L,71,L,86,L,6.3,L,2.8,L,12.7,L
6,Davis,Sacramento Valley,Dec 1984,24.72,K,18.00,L,73,L,0.8,L,10.9,L,1.5,L,5.6,L,97,L,77,L,89,L,3.8,L,2.5,L,9.3,L
6,Davis,Sacramento Valley,Jan 1985,18.97, ,26.00, ,69, ,0.7, ,8.8, ,-0.4,K,3.4, ,98, ,82, ,94, ,2.4, ,1.7, ,7.5, 
6,Davis,Sacramento Valley,Feb 1985,75.10, ,48.00, ,155, ,0.8, ,17.8, ,3.2, ,9.9, ,88, ,48, ,68, ,3.9, ,3.2, ,8.7, 
6,Davis,Sacramento Valley,Mar 1985,82.45, ,83.00,L,171,L,0.9,L,16.9,L,3.8,L,9.8,L,93, ,53, ,74,L,5.2,L,3.1,L,10.8,L
6,Davis,Sacramento Valley,Apr 1985,146.35,K,8.00,L,267,L,1.2,L,25.2,L,8.6,L,16.4,L,88,L,43,L,65,L,9.3,L,3.0,L,16.1,L
6,Davis,Sacramento Valley,May 1985,183.62,K,1.00,K,305,K,1.1,K,25.8, ,8.6, ,17.2,K,83,K,36,K,56, ,8.0, ,3.5,K,20.2,K
6,Davis,Sacramento Valley,Jun 1985,227.22, ,4.00,K,327, ,1.4, ,33.7, ,14.0, ,23.9, ,78, ,27, ,47, ,11.3, ,3.1, ,23.9, 
6,Davis,Sacramento Valley,Jul 1985,209.24,K,5.00, ,297, ,1.4, ,34.6, ,14.9, ,24.3, ,78, ,27, ,48, ,12.0, ,2.7, ,24.3, 
6,Davis,Sacramento Valley,Aug 1985,196.33,K,0.00, ,283,K,1.4, ,31.6, ,12.0, ,21.4, ,90, ,30, ,55, ,11.5, ,2.7, ,22.2, 
6,Davis,Sacramento Valley,Sep 1985,134.60, ,15.00, ,222, ,1.3, ,27.6, ,11.3, ,18.9, ,90, ,37, ,61, ,10.7, ,2.8, ,19.8, 
6,Davis,Sacramento Valley,Oct 1985,115.63, ,12.00, ,170, ,1.0, ,25.3, ,8.8, ,16.6, ,81, ,33, ,55, ,6.0, ,2.9, ,16.9, 
6,Davis,Sacramento Valley,Nov 1985,50.58,K,115.00, ,89, ,0.8, ,15.1, ,3.0,K,8.6, ,91, ,57, ,74, ,3.5, ,2.6,K,11.4, 
6,Davis,Sacramento Valley,Dec 1985,23.28,K,80.00,K,59, ,0.7,K,8.6, ,-0.5,K,3.1,K,98,K,81,K,93, ,2.1, ,2.2,K,8.7, 
6,Davis,Sacramento Valley,Jan 1986,22.76,K,119.00, ,63, ,1.1, ,13.6, ,5.4, ,8.9, ,98, ,82, ,93, ,7.8, ,2.2,K,10.6, 
