month,eto_avg_m,ppt_avg_m
1,0.032503333333333335,0.08633615384615385
2,0.052078717948717955,0.09095897435897438
3,0.0934348717948718,0.06742051282051283
4,0.13884282051282051,0.02621025641025641
5,0.1852341025641026,0.014753846153846157
6,0.21113102564102562,0.005128205128205127
7,0.21125125000000003,0.0011025641025641025
8,0.189412,0.002212820512820513
9,0.14816599999999996,0.007368750000000002
10,0.10759205128205128,0.03185128205128204
11,0.05301589743589744,0.05038461538461538
12,0.03259076923076923,0.07922564102564102
