    k    i    j  seg  rch   rlen
    1    1    1    1    1   4500. 
    1    2    2    1    2   7000.      
    1    3    3    1    3   6000.      
    1    3    4    1    4   5550.      
    1    4    5    2    1   6500.      
    1    5    6    2    2   5000.      
    1    6    6    2    3   5000.      
    1    7    6    2    4   5000.      
    1    8    6    2    5   5000.      
    1    3    5    3    1   5000.      
    1    3    6    3    2   5000.      
    1    3    7    3    3   4500.      
    1    4    8    3    4   6000.      
    1    5    8    3    5   5000.      
    1    6    8    3    6   2000.      
    1    5   10    4    1   2500.      
    1    5    9    4    2   5000.      
    1    6    8    4    3   3500.      
    1    6    8    5    1   4000.      
    1    7    7    5    2   5000.      
    1    8    7    5    3   3500.      
    1    8    6    5    4   2500.      
    1    9    6    6    1   5000.      
    1   10    7    6    2   5000.      
    1   11    7    6    3   5000.      
    1   12    7    6    4   5000.      
    1   13    7    6    5   2000.      
    1   14    9    7    1   5000.      
    1   13    8    7    2   5500.      
    1   13    7    7    3   5000.      
    1   13    6    8    1   5000.      
    1   13    5    8    2   5000.      
    1   13    4    8    3   5000.      
    1   13    3    8    4   5000.      
    1   13    2    8    5   5000.      
    1   13    1    8    6   3000.
    1   8     6    9    1   3000.
    1   8     5    9    2   3000.
