node,sfr_seg,rchno,segdn0,segdn1,strtop,rlen,rwid,rbth,rgrd,man,strk,mf6_rchno,rchto,div,divto
306.0,1,1,0,0,1082.419,5750.0,12.0,3.0,0.0008677,0.03,1.5e-05,0.0,,0,
332.0,1,2,0,0,1080.7486666666666,5750.0,12.0,3.0,0.0008677,0.03,1.5e-05,1.0,,0,
261.0,1,3,0,0,1079.0783333333334,5750.0,12.0,3.0,0.0008677,0.03,1.5e-05,2.0,,0,
318.0,1,4,2,8,1077.408,5750.0,12.0,3.0,0.0008677,0.03,1.5e-05,3.0,4.0,1,4.0
342.0,2,1,0,0,1071.934,3785.714285714286,12.0,3.0,0.0009434,0.03,1.5e-05,4.0,,0,
449.0,2,2,0,0,1068.6715,3785.714285714286,12.0,3.0,0.0009434,0.03,1.5e-05,5.0,,0,
450.0,2,3,0,0,1065.409,3785.714285714286,12.0,3.0,0.0009434,0.03,1.5e-05,6.0,,0,
411.0,2,4,0,0,1062.1464999999998,3785.714285714286,12.0,3.0,0.0009434,0.03,1.5e-05,7.0,,0,
467.0,2,5,0,0,1058.884,3785.714285714286,12.0,3.0,0.0009434,0.03,1.5e-05,8.0,,0,
463.0,2,6,0,0,1055.6215,3785.714285714286,12.0,3.0,0.0009434,0.03,1.5e-05,9.0,,0,
466.0,2,7,3,0,1052.359,3785.714285714286,12.0,3.0,0.0009434,0.03,1.5e-05,10.0,11.0,0,
423.0,3,1,0,0,1042.727,3142.8571428571427,12.0,3.0,0.000909,0.03,1.5e-05,11.0,,0,
420.0,3,2,0,0,1039.924,3142.8571428571427,12.0,3.0,0.000909,0.03,1.5e-05,12.0,,0,
425.0,3,3,0,0,1037.121,3142.8571428571427,12.0,3.0,0.000909,0.03,1.5e-05,13.0,,0,
453.0,3,4,0,0,1034.3180000000002,3142.8571428571427,12.0,3.0,0.000909,0.03,1.5e-05,14.0,,0,
438.0,3,5,0,0,1031.515,3142.8571428571427,12.0,3.0,0.000909,0.03,1.5e-05,15.0,,0,
457.0,3,6,0,0,1028.712,3142.8571428571427,12.0,3.0,0.000909,0.03,1.5e-05,16.0,,0,
464.0,3,7,4,0,1025.909,3142.8571428571427,12.0,3.0,0.000909,0.03,1.5e-05,17.0,18.0,0,
436.0,4,1,0,0,1021.875,3111.1111111111118,40.0,3.0,0.00125,0.025,6e-05,18.0,,0,
385.0,4,2,0,0,1018.125,3111.1111111111118,40.0,3.0,0.00125,0.025,6e-05,19.0,,0,
428.0,4,3,0,0,1014.375,3111.1111111111118,40.0,3.0,0.00125,0.025,6e-05,20.0,,0,
459.0,4,4,0,0,1010.625,3111.1111111111118,40.0,3.0,0.00125,0.025,6e-05,21.0,,0,
371.0,4,5,0,0,1006.875,3111.1111111111118,40.0,3.0,0.00125,0.025,6e-05,22.0,,0,
403.0,4,6,0,0,1003.125,3111.1111111111118,40.0,3.0,0.00125,0.025,6e-05,23.0,,0,
429.0,4,7,0,0,999.375,3111.1111111111118,40.0,3.0,0.00125,0.025,6e-05,24.0,,0,
345.0,4,8,0,0,995.625,3111.1111111111118,40.0,3.0,0.00125,0.025,6e-05,25.0,,0,
121.0,4,9,-999,0,991.875,3111.1111111111118,40.0,3.0,0.00125,0.025,6e-05,26.0,,0,
259.0,5,2,0,0,1077.727,2750.0,12.0,3.0,0.0018182,0.03,1.5e-05,27.0,,0,
305.0,5,3,0,0,1072.8786666666667,2750.0,12.0,3.0,0.0018182,0.03,1.5e-05,28.0,,0,
366.0,5,4,0,0,1068.0303333333334,2750.0,12.0,3.0,0.0018182,0.03,1.5e-05,29.0,,0,
380.0,5,5,6,0,1063.182,2750.0,12.0,3.0,0.0018182,0.03,1.5e-05,30.0,31.0,0,
368.0,6,1,0,0,1058.0,3750.0,15.0,3.0,0.001,0.03,1.5e-05,31.0,,0,
469.0,6,2,0,0,1054.0833333333333,3750.0,15.0,3.0,0.001,0.03,1.5e-05,32.0,,0,
419.0,6,3,0,0,1050.1666666666667,3750.0,15.0,3.0,0.001,0.03,1.5e-05,33.0,,0,
405.0,6,4,3,0,1046.25,3750.0,15.0,3.0,0.001,0.03,1.5e-05,34.0,11.0,0,
84.0,7,1,0,0,1037.581,2214.285714285714,55.0,3.0,0.000968,0.025,6e-05,35.0,,0,
317.0,7,2,0,0,1035.8873333333331,2214.285714285714,55.0,3.0,0.000968,0.025,6e-05,36.0,,0,
280.0,7,3,0,0,1034.1936666666666,2214.285714285714,55.0,3.0,0.000968,0.025,6e-05,37.0,,0,
328.0,7,4,0,0,1032.5,2214.285714285714,55.0,3.0,0.000968,0.025,6e-05,38.0,,0,
340.0,7,5,0,0,1030.8063333333334,2214.285714285714,55.0,3.0,0.000968,0.025,6e-05,39.0,,0,
406.0,7,6,0,0,1029.1126666666669,2214.285714285714,55.0,3.0,0.000968,0.025,6e-05,40.0,,0,
391.0,7,7,4,0,1027.419,2214.285714285714,55.0,3.0,0.000968,0.025,6e-05,41.0,18.0,0,
298.0,8,1,0,0,1073.636,3928.571428571429,10.0,2.0,0.0005455,0.03,1.5e-05,42.0,,0,
344.0,8,2,0,0,1071.4541666666669,3928.571428571429,10.0,2.0,0.0005455,0.03,1.5e-05,43.0,,0,
336.0,8,3,0,0,1069.272333333333,3928.571428571429,10.0,2.0,0.0005455,0.03,1.5e-05,44.0,,0,
362.0,8,4,0,0,1067.0905,3928.571428571429,10.0,2.0,0.0005455,0.03,1.5e-05,45.0,,0,
357.0,8,5,0,0,1064.9086666666667,3928.571428571429,10.0,2.0,0.0005455,0.03,1.5e-05,46.0,,0,
327.0,8,6,0,0,1062.7268333333334,3928.571428571429,10.0,2.0,0.0005455,0.03,1.5e-05,47.0,,0,
402.0,8,7,6,0,1060.545,3928.571428571429,10.0,2.0,0.0005455,0.03,1.5e-05,48.0,31.0,0,
49.0,5,1,0,0,1077.3,500.0,12.0,3.0,0.00182,0.03,2e-05,49.0,,0,
