FID,node,sfr_c,sfr_seg,rchno,segdn0,segdn1
82,84.000000000000000,7.000000000000000,7,1,0,0
119,121.000000000000000,3.000000000000000,4,9,-999,0
257,259.000000000000000,2.000000000000000,5,2,0,0
259,261.000000000000000,5.000000000000000,1,3,0,0
278,280.000000000000000,7.000000000000000,7,3,0,0
296,298.000000000000000,4.000000000000000,8,1,0,0
303,305.000000000000000,2.000000000000000,5,3,0,0
304,306.000000000000000,5.000000000000000,1,1,0,0
315,317.000000000000000,7.000000000000000,7,2,0,0
316,318.000000000000000,5.000000000000000,1,4,2,8
325,327.000000000000000,4.000000000000000,8,6,0,0
326,328.000000000000000,7.000000000000000,7,4,0,0
330,332.000000000000000,5.000000000000000,1,2,0,0
334,336.000000000000000,4.000000000000000,8,3,0,0
338,340.000000000000000,7.000000000000000,7,5,0,0
340,342.000000000000000,1.000000000000000,2,1,0,0
342,344.000000000000000,4.000000000000000,8,2,0,0
343,345.000000000000000,3.000000000000000,4,8,0,0
355,357.000000000000000,4.000000000000000,8,5,0,0
360,362.000000000000000,4.000000000000000,8,4,0,0
364,366.000000000000000,2.000000000000000,5,4,0,0
366,368.000000000000000,8.000000000000000,6,1,0,0
369,371.000000000000000,3.000000000000000,4,5,0,0
378,380.000000000000000,2.000000000000000,5,5,6,0
383,385.000000000000000,3.000000000000000,4,2,0,0
389,391.000000000000000,7.000000000000000,7,7,4,0
400,402.000000000000000,4.000000000000000,8,7,6,0
401,403.000000000000000,3.000000000000000,4,6,0,0
403,405.000000000000000,8.000000000000000,6,4,3,0
404,406.000000000000000,7.000000000000000,7,6,0,0
409,411.000000000000000,1.000000000000000,2,4,0,0
417,419.000000000000000,8.000000000000000,6,3,0,0
418,420.000000000000000,6.000000000000000,3,2,0,0
421,423.000000000000000,6.000000000000000,3,1,0,0
423,425.000000000000000,6.000000000000000,3,3,0,0
426,428.000000000000000,3.000000000000000,4,3,0,0
427,429.000000000000000,3.000000000000000,4,7,0,0
434,436.000000000000000,3.000000000000000,4,1,0,0
436,438.000000000000000,6.000000000000000,3,5,0,0
447,449.000000000000000,1.000000000000000,2,2,0,0
448,450.000000000000000,1.000000000000000,2,3,0,0
451,453.000000000000000,6.000000000000000,3,4,0,0
455,457.000000000000000,6.000000000000000,3,6,0,0
457,459.000000000000000,3.000000000000000,4,4,0,0
461,463.000000000000000,1.000000000000000,2,6,0,0
462,464.000000000000000,6.000000000000000,3,7,4,0
464,466.000000000000000,1.000000000000000,2,7,3,0
465,467.000000000000000,1.000000000000000,2,5,0,0
467,469.000000000000000,8.000000000000000,6,2,0,0
